"year","month","time","sunspots","sd","no","final","ts"
1762,2,"1762-2-15 00:00:00",121.3,-1,-1,1,1762.12
1762,3,"1762-3-15 00:00:00",76.2,-1,-1,1,1762.21
1762,4,"1762-4-15 00:00:00",100.3,-1,-1,1,1762.29
1762,5,"1762-5-15 00:00:00",66.5,-1,-1,1,1762.38
1762,6,"1762-6-15 00:00:00",128.5,-1,-1,1,1762.46
1762,7,"1762-7-15 00:00:00",56.3,-1,-1,1,1762.54
1762,8,"1762-8-15 00:00:00",112.8,-1,-1,1,1762.62
1762,9,"1762-9-15 00:00:00",114.2,-1,-1,1,1762.71
1762,10,"1762-10-15 00:00:00",115.5,-1,-1,1,1762.79
1762,11,"1762-11-15 00:00:00",129.7,-1,-1,1,1762.88
1762,12,"1762-12-15 00:00:00",128.7,-1,-1,1,1762.96
1763,1,"1763-1-15 00:00:00",94.2,-1,-1,1,1763.04
1763,2,"1763-2-15 00:00:00",53.2,-1,-1,1,1763.12
1763,3,"1763-3-15 00:00:00",57,-1,-1,1,1763.21
1763,4,"1763-4-15 00:00:00",54.8,-1,-1,1,1763.29
1763,5,"1763-5-15 00:00:00",54.5,-1,-1,1,1763.38
1763,6,"1763-6-15 00:00:00",59.7,-1,-1,1,1763.46
1763,7,"1763-7-15 00:00:00",90.3,-1,-1,1,1763.54
1763,8,"1763-8-15 00:00:00",44.2,-1,-1,1,1763.62
1763,9,"1763-9-15 00:00:00",113.5,-1,-1,1,1763.71
1763,10,"1763-10-15 00:00:00",77.2,-1,-1,1,1763.79
1763,11,"1763-11-15 00:00:00",101.5,-1,-1,1,1763.88
1763,12,"1763-12-15 00:00:00",102.3,-1,-1,1,1763.96
1764,1,"1764-1-15 00:00:00",99.5,-1,-1,1,1764.04
1764,2,"1764-2-15 00:00:00",99.5,-1,-1,1,1764.12
1764,3,"1764-3-15 00:00:00",67,-1,-1,1,1764.21
1764,4,"1764-4-15 00:00:00",57.3,-1,-1,1,1764.29
1764,5,"1764-5-15 00:00:00",73.8,-1,-1,1,1764.38
1764,6,"1764-6-15 00:00:00",50,-1,-1,1,1764.46
1764,7,"1764-7-15 00:00:00",50,-1,-1,1,1764.54
1764,8,"1764-8-15 00:00:00",50,-1,-1,1,1764.62
1764,9,"1764-9-15 00:00:00",47,-1,-1,1,1764.71
1764,10,"1764-10-15 00:00:00",46.7,-1,-1,1,1764.79
1764,11,"1764-11-15 00:00:00",43.3,-1,-1,1,1764.88
1764,12,"1764-12-15 00:00:00",42.8,-1,-1,1,1764.96
1765,1,"1765-1-15 00:00:00",40,-1,-1,1,1765.04
1765,2,"1765-2-15 00:00:00",43.3,-1,-1,1,1765.12
1765,3,"1765-3-15 00:00:00",41.7,-1,-1,1,1765.21
1765,4,"1765-4-15 00:00:00",36.7,-1,-1,1,1765.29
1765,5,"1765-5-15 00:00:00",33.7,-1,-1,1,1765.38
1765,6,"1765-6-15 00:00:00",33.3,-1,-1,1,1765.46
1765,7,"1765-7-15 00:00:00",45,-1,-1,1,1765.54
1765,8,"1765-8-15 00:00:00",49.5,-1,-1,1,1765.62
1765,9,"1765-9-15 00:00:00",26.7,-1,-1,1,1765.71
1765,10,"1765-10-15 00:00:00",23.3,-1,-1,1,1765.79
1765,11,"1765-11-15 00:00:00",23.3,-1,-1,1,1765.88
1765,12,"1765-12-15 00:00:00",21.7,-1,-1,1,1765.96
1766,1,"1766-1-15 00:00:00",20,-1,-1,1,1766.04
1766,2,"1766-2-15 00:00:00",18.3,-1,-1,1,1766.12
1766,3,"1766-3-15 00:00:00",61,-1,-1,1,1766.21
1766,4,"1766-4-15 00:00:00",10,-1,-1,1,1766.29
1766,5,"1766-5-15 00:00:00",44.7,-1,-1,1,1766.38
1766,6,"1766-6-15 00:00:00",5,-1,-1,1,1766.46
1766,7,"1766-7-15 00:00:00",5.5,-1,-1,1,1766.54
1766,8,"1766-8-15 00:00:00",6.7,-1,-1,1,1766.62
1766,9,"1766-9-15 00:00:00",7.2,-1,-1,1,1766.71
1766,10,"1766-10-15 00:00:00",8.3,-1,-1,1,1766.79
1766,11,"1766-11-15 00:00:00",9.5,-1,-1,1,1766.88
1766,12,"1766-12-15 00:00:00",32,-1,-1,1,1766.96
1767,1,"1767-1-15 00:00:00",45.7,-1,-1,1,1767.04
1767,2,"1767-2-15 00:00:00",50,-1,-1,1,1767.12
1767,3,"1767-3-15 00:00:00",71.7,-1,-1,1,1767.21
1767,4,"1767-4-15 00:00:00",54.8,-1,-1,1,1767.29
1767,5,"1767-5-15 00:00:00",49.7,-1,-1,1,1767.38
1767,6,"1767-6-15 00:00:00",55.5,-1,-1,1,1767.46
1767,7,"1767-7-15 00:00:00",36.5,-1,-1,1,1767.54
1767,8,"1767-8-15 00:00:00",68,-1,-1,1,1767.62
1767,9,"1767-9-15 00:00:00",71.2,-1,-1,1,1767.71
1767,10,"1767-10-15 00:00:00",73.5,-1,-1,1,1767.79
1767,11,"1767-11-15 00:00:00",91.2,-1,-1,1,1767.88
1767,12,"1767-12-15 00:00:00",88.8,-1,-1,1,1767.96
1768,1,"1768-1-15 00:00:00",89.2,-1,-1,1,1768.04
1768,2,"1768-2-15 00:00:00",110.2,-1,-1,1,1768.12
1768,3,"1768-3-15 00:00:00",77.2,-1,-1,1,1768.21
1768,4,"1768-4-15 00:00:00",71.2,-1,-1,1,1768.29
1768,5,"1768-5-15 00:00:00",129.5,-1,-1,1,1768.38
1768,6,"1768-6-15 00:00:00",129,-1,-1,1,1768.46
1768,7,"1768-7-15 00:00:00",87.7,-1,-1,1,1768.54
1768,8,"1768-8-15 00:00:00",111.3,-1,-1,1,1768.62
1768,9,"1768-9-15 00:00:00",124.7,-1,-1,1,1768.71
1768,10,"1768-10-15 00:00:00",129.7,-1,-1,1,1768.79
1768,11,"1768-11-15 00:00:00",151,-1,-1,1,1768.88
1768,12,"1768-12-15 00:00:00",186.3,-1,-1,1,1768.96
1769,1,"1769-1-15 00:00:00",123.2,-1,-1,1,1769.04
1769,2,"1769-2-15 00:00:00",107,-1,-1,1,1769.12
1769,3,"1769-3-15 00:00:00",107.2,-1,-1,1,1769.21
